Edge,Weight
"(6, 133)",0.00014176459455029545
"(6, 134)",7.040107456077749e-06
"(6, 135)",2.406219287441761e-08
"(6, 136)",1.9281419559646908e-07
"(6, 137)",0.007178457286208868
"(6, 138)",0.047808287469670176
"(6, 139)",1.591789213526182e-07
"(6, 140)",1.3406875167731869e-06
"(6, 141)",0.022252577350009232
"(6, 142)",2.6722215543486528e-05
"(6, 144)",4.129290338106273e-08
"(6, 145)",2.0153396489419607e-07
"(6, 154)",4.258082427668342e-06
"(6, 155)",2.3713692232085748e-08
"(6, 158)",8.453945062027074e-08
"(6, 159)",2.3059912707594775e-05
"(6, 160)",9.962178199884875e-07
"(6, 161)",6.493335368834507e-08
"(6, 174)",4.838370148072332e-08
"(7, 4)",1.7729882318917588e-06
"(7, 5)",2.364776970125604e-05
"(7, 6)",0.1340153808519244
"(7, 8)",0.0011537431639590068
"(7, 9)",0.017635103979264388
"(7, 10)",3.828838184328114e-08
"(7, 11)",5.804679015852799e-07
"(7, 12)",0.007262204919243231
"(7, 13)",1.0868583626688632e-06
"(7, 18)",2.5419500602197333e-07
"(7, 20)",4.70866066477091e-07
"(7, 23)",1.1600450257276407e-07
"(7, 26)",1.199637685189714e-07
"(7, 27)",2.3445708997842918e-08
"(7, 44)",9.230965546351533e-09
"(7, 45)",0.00013989549726829863
"(7, 46)",0.0672043118532747
"(7, 47)",0.000729954902199097
"(7, 48)",0.015139009290724061
"(7, 49)",6.200039474890673e-07
"(7, 50)",1.877684540581015e-06
"(7, 70)",3.642326678914287e-06
"(7, 71)",0.000295593510963954
"(7, 77)",1.925197551796303e-08
"(7, 78)",2.410996206094751e-06
"(7, 80)",3.349725405087156e-05
"(7, 84)",1.7100698303749765e-07
"(7, 92)",2.2313173741395074e-06
"(7, 93)",2.3624041276093521e-07
"(7, 94)",1.0483002834860144e-06
"(7, 95)",0.00944344149378594
"(7, 96)",2.5503513032041055e-06
"(7, 100)",3.1838377922864804e-08
"(7, 101)",1.3872063418460811e-05
"(7, 102)",2.9598109290118578e-06
"(7, 103)",7.136231784463654e-06
"(7, 104)",0.0005113670446553442
"(7, 106)",3.668156303328747e-07
"(7, 107)",2.0387850213765545e-06
"(7, 115)",4.534986716765466e-08
"(7, 129)",5.764778975247964e-07
"(7, 130)",5.390683475781089e-07
"(7, 131)",0.0007319429841300007
"(7, 132)",0.0017935230769217014
"(7, 133)",0.00018005076108238428
"(7, 134)",8.417940396299173e-08
"(7, 136)",9.587468618477147e-07
"(7, 137)",0.05243904773844406
"(7, 138)",0.00010161045348013431
"(7, 140)",3.59538855165987e-07
"(7, 141)",7.004327083450335e-05
"(7, 159)",4.104760121029816e-08
"(7, 160)",1.3941809834605578e-07
"(8, 3)",1.1014022850197592e-07
"(8, 4)",4.319306061706385e-08
"(8, 5)",0.004995448731351644
"(8, 6)",0.00043460209009026584
"(8, 7)",0.0011537431639590068
"(8, 9)",0.0015710407728329301
"(8, 10)",2.487316018061847e-05
"(8, 11)",1.2206645841672525e-07
"(8, 12)",0.00010957018314911694
"(8, 13)",0.002851609099889174
"(8, 14)",7.357009810249337e-08
"(8, 19)",4.633066825426064e-08
"(8, 20)",1.827447132836113e-06
"(8, 22)",6.626037045265321e-07
"(8, 23)",0.0008480692775447097
"(8, 24)",3.890357909767772e-05
"(8, 25)",1.392250623837299e-06
"(8, 26)",0.003578955538177979
"(8, 27)",0.04765510005876422
"(8, 28)",1.2720056510541486e-08
"(8, 29)",2.6058266990958148e-06
"(8, 30)",0.0023638616452808492
"(8, 31)",1.1736524056793485e-05
"(8, 34)",7.291009800841013e-08
"(8, 45)",0.000142728788578097
"(8, 46)",1.5344113533046765e-05
"(8, 47)",3.9829935408306485e-05
"(8, 48)",6.917772094078429e-08
"(8, 71)",6.093996622524856e-07
"(8, 77)",3.6860501353609195e-08
"(8, 78)",1.2625817591427335e-07
"(8, 79)",1.0828376947102924e-07
"(8, 80)",0.004191315927891992
"(8, 81)",0.001043263236169878
"(8, 82)",4.746107683217815e-06
"(8, 83)",1.390025260832317e-05
"(8, 84)",0.04163309270981699
"(8, 85)",4.265923234658686e-08
"(8, 86)",4.640559512267828e-06
"(8, 89)",2.6287164223504078e-06
"(8, 92)",2.2042361885965533e-07
"(8, 129)",1.872827545386756e-08
"(8, 130)",5.6086478575707585e-05
"(8, 131)",0.026208758500870316
"(8, 132)",0.017443679078132844
"(8, 133)",5.176735475203031e-06
"(8, 134)",1.936057859485242e-09
"(8, 137)",4.2804270862006887e-07
"(8, 138)",1.5250955250678543e-06
"(8, 158)",1.0025591517148768e-06
"(8, 159)",1.5558284467687144e-06
"(8, 160)",1.4750384460313626e-05
"(9, 5)",5.867410352777825e-07
"(9, 6)",9.059529727153404e-06
"(9, 7)",0.017635103979264388
"(9, 8)",0.0015710407728329301
"(9, 10)",0.0011811052464690873
"(9, 11)",0.0013559928408358247
"(9, 12)",0.014640291490359232
"(9, 13)",7.533899127338373e-05
"(9, 16)",1.9328166075638365e-06
"(9, 17)",1.057525795431502e-06
"(9, 18)",6.956604677377243e-07
"(9, 19)",1.5626520148790828e-07
"(9, 20)",4.221006323816991e-08
"(9, 23)",2.9363739791676833e-07
"(9, 27)",4.0858276271649176e-07
"(9, 45)",1.628301204902982e-05
"(9, 46)",6.342449620433399e-05
"(9, 47)",0.12840900041861458
"(9, 48)",0.002880079747774289
"(9, 49)",0.0001436616576279448
"(9, 50)",7.864227814877722e-06
"(9, 70)",3.2933184531884766e-05
"(9, 71)",0.14280804444104434
"(9, 72)",1.1258173469386179e-06
"(9, 73)",7.550385789123481e-07
"(9, 74)",1.9782915639089986e-07
"(9, 75)",2.90453236942767e-06
"(9, 76)",9.014911009330717e-07
"(9, 77)",0.0014686638749572011
"(9, 78)",0.0486610784381628
"(9, 79)",0.00042432845792063746
"(9, 80)",0.008498068081680686
"(9, 81)",8.630077568341221e-06
"(9, 82)",2.8459082141552016e-07
"(9, 84)",2.9705085910336493e-06
"(9, 86)",6.082689462780778e-08
"(9, 92)",6.484447389851766e-06
"(9, 94)",1.1338792482078475e-05
"(9, 95)",1.7267764675636954e-05
"(9, 96)",2.0151913335797243e-07
"(9, 104)",1.6623254440198765e-08
"(9, 131)",1.3787435256773505e-06
"(9, 132)",4.15893477827467e-05
"(9, 133)",1.6472789533321673e-07
"(9, 137)",2.8498367134233148e-06
"(10, 7)",3.828838184328114e-08
"(10, 8)",2.487316018061847e-05
"(10, 9)",0.0011811052464690873
"(10, 11)",0.0042579637991730125
"(10, 12)",2.160183674050131e-05
"(10, 13)",0.004676123414537869
"(10, 14)",1.2841520171491539e-06
"(10, 15)",0.00012427577878042938
"(10, 16)",0.0021532368575572034
"(10, 17)",7.1663661151433185e-06
"(10, 18)",3.967516802040734e-09
"(10, 19)",3.095486994020291e-06
"(10, 23)",2.4156629578442333e-06
"(10, 24)",1.582879039915497e-05
"(10, 27)",4.591572358663143e-06
"(10, 47)",4.06630530108032e-06
"(10, 70)",2.821939732999823e-08
"(10, 71)",5.371185810872703e-05
"(10, 74)",3.0588617756646614e-08
"(10, 75)",1.1336227870515359e-05
"(10, 76)",0.0013244273245800286
"(10, 77)",0.07671059682965278
"(10, 78)",0.0006841925485787214
"(10, 79)",0.006398399307799991
"(10, 80)",6.3816532724843e-05
"(10, 81)",0.03402672653086483
"(10, 82)",0.007911755276145413
"(10, 83)",9.205328960888437e-06
"(10, 84)",2.4086915142795817e-06
"(10, 132)",2.2168344834483378e-07
"(11, 7)",5.804679015852799e-07
"(11, 8)",1.2206645841672525e-07
"(11, 9)",0.0013559928408358247
"(11, 10)",0.0042579637991730125
"(11, 12)",0.006661601235391572
"(11, 13)",9.18820442257129e-05
"(11, 14)",1.1740500148960109e-07
"(11, 15)",7.05365102385258e-05
"(11, 16)",0.11734524132683873
"(11, 17)",0.45097557064145805
"(11, 18)",0.0011282365558145102
"(11, 19)",0.0002662389281476862
"(11, 20)",3.4376575644756715e-07
"(11, 23)",7.091840760864443e-08
"(11, 47)",4.763536770013843e-07
"(11, 48)",1.5226611600382966e-05
"(11, 49)",2.813835334336545e-07
"(11, 50)",4.371817049673155e-06
"(11, 57)",1.2092608919545e-06
"(11, 67)",2.163563411421296e-08
"(11, 68)",1.3684440095858009e-05
"(11, 69)",2.861508299702109e-05
"(11, 70)",0.006428441219613887
"(11, 71)",0.11990933742374182
"(11, 72)",0.00017600159540961613
"(11, 73)",9.266239402450082e-08
"(11, 74)",2.5600803237145066e-07
"(11, 75)",0.000534834502323065
"(11, 76)",0.00012032311396069417
"(11, 77)",0.8328838790953159
"(11, 78)",0.004232979327207431
"(11, 79)",1.2133231372217779e-05
"(11, 80)",3.5440282883465187e-08
"(11, 81)",1.2125682115993186e-06
"(11, 132)",3.0166007626064583e-07
"(12, 6)",6.216079027581145e-06
"(12, 7)",0.007262204919243231
"(12, 8)",0.00010957018314911694
"(12, 9)",0.014640291490359232
"(12, 10)",2.160183674050131e-05
"(12, 11)",0.006661601235391572
"(12, 13)",0.0012575474454206415
"(12, 14)",3.909453981876254e-07
"(12, 15)",2.083745921494604e-07
"(12, 16)",0.00010813007944307173
"(12, 17)",0.00018716598289756804
"(12, 18)",0.013574222198221832
"(12, 19)",0.0009109762795583265
"(12, 20)",0.0011291206131863872
"(12, 22)",3.252755629924918e-08
"(12, 23)",3.226854235208521e-05
"(12, 24)",7.50531703832223e-08
"(12, 26)",1.2922607965037968e-07
"(12, 27)",5.572181369583816e-08
"(12, 46)",5.192543500953661e-07
"(12, 47)",3.0101947317007216e-06
"(12, 48)",0.002255534906653338
"(12, 49)",9.893746868523959e-09
"(12, 50)",4.7297660975687e-06
"(12, 56)",2.3846432701495654e-07
"(12, 57)",4.1335300200158235e-08
"(12, 67)",7.123317506909643e-06
"(12, 68)",1.4022058425666728e-06
"(12, 69)",2.1194513420112304e-08
"(12, 70)",0.005248806619783863
"(12, 71)",0.02896595000755042
"(12, 72)",5.990300834493169e-08
"(12, 77)",4.0266860798965355e-05
"(12, 78)",2.108126631583218e-05
"(12, 79)",1.8234783496906484e-09
"(12, 80)",4.4594267670561296e-07
"(12, 81)",8.827748156647886e-07
"(12, 95)",2.353319779260232e-06
"(12, 96)",4.960905749296222e-09
"(12, 101)",4.038169905678896e-08
"(12, 102)",3.24047092620407e-07
"(12, 131)",5.419082982598411e-06
"(12, 132)",0.010371186923002824
"(12, 133)",0.0008075258637836669
"(12, 134)",3.761229194765292e-09
"(12, 135)",1.205003552406936e-07
"(12, 136)",4.34258073056526e-06
"(12, 137)",0.0002971497346698015
"(12, 138)",2.312980610774673e-07
"(12, 160)",1.7975476477261053e-06
"(12, 161)",5.505292654106597e-07
"(12, 162)",6.600390696007708e-06
"(13, 7)",1.0868583626688632e-06
"(13, 8)",0.002851609099889174
"(13, 9)",7.533899127338373e-05
"(13, 10)",0.004676123414537869
"(13, 11)",9.18820442257129e-05
"(13, 12)",0.0012575474454206415
"(13, 14)",0.013571904306299985
"(13, 15)",0.00027159136228874556
"(13, 16)",0.0010993879975285381
"(13, 17)",1.609670415234632e-06
"(13, 18)",1.87910306408412e-06
"(13, 19)",0.004155830926465569
"(13, 20)",0.0007739863284223248
"(13, 21)",9.589250453245768e-06
"(13, 22)",0.0005180731018299412
"(13, 23)",0.4535618578642607
"(13, 24)",0.0791528138378635
"(13, 25)",5.795620887511177e-05
"(13, 26)",0.0001473968194659392
"(13, 27)",0.0021579450028366407
"(13, 28)",1.500089175576002e-07
"(13, 29)",1.7308390169465492e-08
"(13, 30)",1.8340555056894915e-07
"(13, 71)",1.7932465600267734e-06
"(13, 77)",8.43577486364211e-06
"(13, 78)",1.2513603825063522e-07
"(13, 79)",5.3153616033085885e-08
"(13, 80)",1.1389529896632667e-06
"(13, 81)",0.10661828353069723
"(13, 82)",4.9221262415812816e-05
"(13, 83)",4.6404923596128354e-05
"(13, 84)",7.554730169658796e-06
"(13, 131)",8.822962022350112e-06
"(13, 132)",0.003149122695904225
"(13, 133)",2.1659390976935812e-06
"(13, 160)",2.4571511163458125e-05
"(13, 161)",7.397685764914143e-08
"(13, 162)",3.4635431545864923e-09
"(14, 8)",7.357009810249337e-08
"(14, 10)",1.2841520171491539e-06
"(14, 11)",1.1740500148960109e-07
"(14, 12)",3.909453981876254e-07
"(14, 13)",0.013571904306299985
"(14, 15)",0.005879417834803462
"(14, 16)",0.00019394362707316759
"(14, 17)",5.112493149272978e-08
"(14, 18)",6.675481027507146e-08
"(14, 19)",0.010402321510482579
"(14, 20)",0.00038440599855675827
"(14, 21)",0.01793067798578704
"(14, 22)",0.03610316037462326
"(14, 23)",0.030924892570474184
"(14, 24)",0.04521905103698373
"(14, 25)",0.0003050832629855904
"(14, 26)",2.0610938001475176e-06
"(14, 27)",2.6102807774464053e-06
"(14, 28)",7.231464818909524e-08
"(14, 81)",7.452439923326893e-05
"(14, 82)",4.462595660350837e-08
"(14, 83)",5.891549974279542e-07
"(14, 132)",2.891435202911907e-06
"(14, 160)",4.6964590652009974e-06
"(14, 161)",2.7578132215413812e-08
"(14, 162)",8.475939389209837e-09
"(15, 10)",0.00012427577878042938
"(15, 11)",7.05365102385258e-05
"(15, 12)",2.083745921494604e-07
"(15, 13)",0.00027159136228874556
"(15, 14)",0.005879417834803462
"(15, 16)",0.5009094791486859
"(15, 17)",0.0001340625782358984
"(15, 18)",6.127564815905373e-07
"(15, 19)",0.004135707981768064
"(15, 20)",3.426329189970545e-07
"(15, 21)",6.738990350640961e-07
"(15, 22)",1.3545305721730523e-07
"(15, 23)",2.4945504722495572e-06
"(15, 24)",1.565572689514738e-05
"(15, 76)",9.902682254124755e-08
"(15, 77)",7.025792270383136e-06
"(15, 81)",1.1614045355372582e-05
"(15, 82)",1.724302808803202e-07
"(16, 9)",1.9328166075638365e-06
"(16, 10)",0.0021532368575572034
"(16, 11)",0.11734524132683873
"(16, 12)",0.00010813007944307173
"(16, 13)",0.0010993879975285381
"(16, 14)",0.00019394362707316759
"(16, 15)",0.5009094791486859
"(16, 17)",0.127282869303599
"(16, 18)",0.0002599711220136669
"(16, 19)",0.04014007800142281
"(16, 20)",3.304986077665717e-06
"(16, 21)",8.761285628302383e-08
"(16, 23)",2.6308923659712493e-06
"(16, 24)",1.4949704723221657e-06
"(16, 68)",1.7617865242414154e-06
"(16, 69)",2.3649651296864248e-07
"(16, 70)",7.362411022313608e-06
"(16, 71)",1.9808702586487924e-05
"(16, 72)",2.2891301596494885e-08
"(16, 75)",8.304768592637402e-07
"(16, 76)",5.014266167506776e-06
"(16, 77)",0.0024941486137686295
"(16, 78)",1.3923836492324427e-06
"(16, 79)",4.97126885156679e-08
"(16, 81)",9.389880623302816e-06
"(16, 82)",8.167576186934867e-08
"(16, 132)",9.61321741049541e-08
"(17, 9)",1.057525795431502e-06
"(17, 10)",7.1663661151433185e-06
"(17, 11)",0.45097557064145805
"(17, 12)",0.00018716598289756804
"(17, 13)",1.609670415234632e-06
"(17, 14)",5.112493149272978e-08
"(17, 15)",0.0001340625782358984
"(17, 16)",0.127282869303599
"(17, 18)",0.023808587442617865
"(17, 19)",0.0010826310027914588
"(17, 20)",2.520881742995584e-07
"(17, 48)",2.6524035538599834e-07
"(17, 50)",3.9441800140593843e-07
"(17, 56)",1.540922208812893e-08
"(17, 57)",7.657785448600408e-06
"(17, 59)",4.4085212768541894e-08
"(17, 61)",5.147456363374658e-07
"(17, 63)",6.198190625639199e-07
"(17, 67)",1.0616906926941283e-06
"(17, 68)",0.006112127677188255
"(17, 69)",0.0019110757412272505
"(17, 70)",0.006766726515488699
"(17, 71)",0.00048597359345876613
"(17, 72)",2.111209839313233e-05
"(17, 75)",9.637981888772628e-06
"(17, 76)",9.505835338430302e-07
"(17, 77)",0.0012503850448410958
"(17, 78)",4.150733176118137e-06
"(18, 7)",2.5419500602197333e-07
"(18, 9)",6.956604677377243e-07
"(18, 10)",3.967516802040734e-09
"(18, 11)",0.0011282365558145102
"(18, 12)",0.013574222198221832
"(18, 13)",1.87910306408412e-06
"(18, 14)",6.675481027507146e-08
"(18, 15)",6.127564815905373e-07
"(18, 16)",0.0002599711220136669
"(18, 17)",0.023808587442617865
"(18, 19)",0.008987340224703076
"(18, 20)",0.0002915870062497561
"(18, 21)",6.070980321921191e-08
"(18, 23)",6.73927795391549e-08
"(18, 48)",6.679686580355338e-06
"(18, 50)",7.303387032209229e-07
"(18, 56)",4.40510600975057e-06
"(18, 57)",4.600593429984201e-06
"(18, 58)",2.4739886918013685e-08
"(18, 61)",2.1046727817974896e-05
"(18, 63)",0.0006633155474992236
"(18, 66)",6.384036547402161e-07
"(18, 67)",0.004402474018570501
"(18, 68)",0.029271618449129164
"(18, 69)",2.928720892896308e-05
"(18, 70)",0.03900978652760387
"(18, 71)",0.0001305213404702954
"(18, 72)",2.5370361062263007e-08
"(18, 77)",8.994771847881111e-07
"(18, 78)",5.0749507164305854e-09
"(18, 102)",8.606999932523094e-08
"(18, 132)",2.7204742991671083e-06
"(18, 133)",8.121651513874894e-06
"(18, 135)",6.222576980352556e-08
"(18, 136)",5.328974863800795e-06
"(18, 137)",6.186112032224856e-07
"(18, 161)",3.650762067319846e-08
"(18, 162)",9.210736304339662e-05
"(19, 8)",4.633066825426064e-08
"(19, 9)",1.5626520148790828e-07
"(19, 10)",3.095486994020291e-06
"(19, 11)",0.0002662389281476862
"(19, 12)",0.0009109762795583265
"(19, 13)",0.004155830926465569
"(19, 14)",0.010402321510482579
"(19, 15)",0.004135707981768064
"(19, 16)",0.04014007800142281
"(19, 17)",0.0010826310027914588
"(19, 18)",0.008987340224703076
"(19, 20)",0.03134620855387766
"(19, 21)",0.0009677981642016675
"(19, 22)",3.545989148733497e-05
"(19, 23)",0.0004950047469537822
"(19, 24)",9.15626843948303e-06
"(19, 63)",3.2855474215054413e-07
"(19, 67)",3.33938213118434e-08
"(19, 68)",2.3416129585029923e-06
"(19, 70)",2.6482433867869304e-06
"(19, 71)",7.620959299382451e-07
